"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB23",2.05199424022237,2.39914491015238,2.80096173262391,0.856543265910631,0.391697351784457,NA
"gene13788",0.734204290565058,-2.39853666552439,4.61084177906986,-0.520194962319494,0.602927696165413,NA
"gene12710",2.51217588024783,2.39544108547943,2.35145750108576,1.01870481791542,0.308343124607981,NA
"gene5528",6.56495117391188,-2.39490912478936,1.7638366831324,-1.35778394206896,0.174532251742771,0.609039612388986
"gene8405",2.70830305542492,-2.39429606181248,5.02897661818461,-0.476100058440278,0.634003095374942,NA
"gene2898",0.391050723218265,2.39211262409361,5.01604994047777,0.476891708112811,0.633439236823302,NA
"gene5692",1.34949453396779,2.39050819716796,3.05689370798409,0.782005665072475,0.434211244283787,NA
"KSR1.1",0.802054122006621,2.3895818477674,4.3794224837021,0.545638576013198,0.585314401973688,NA
"FAM13A",13.0309633139548,-2.38955130201892,1.27272498811977,-1.87750796466176,0.0604485067564072,0.364778900146806
"gene9260",2.25176120776482,2.38762917045714,2.89357500895646,0.825148531856517,0.409287269408838,NA
"IK",3.99506034649915,2.38742936031422,1.77195810792607,1.347339618039,0.177870877954672,NA
"gene13205",5.36780306148922,-2.38727182994789,1.79503334890651,-1.32993174271784,0.183540761691861,NA
"gene4830",3.33533202154399,2.38626497906996,1.8158941698526,1.31409914668301,0.188812841282485,NA
"gene9937",7.58857086355439,2.38610779131829,1.52738891585142,1.5622136356726,0.118237669398337,0.518489673552176
"gene12451",6.1216923537411,-2.38583453144427,1.97253590056212,-1.20952654436574,0.226460619472556,NA
"gene10707",1.17713718038753,-2.38532687834688,3.60507444610952,-0.661658147148957,0.508190333066428,NA
"gene10925",4.23943241512085,2.38527037249249,1.6299358415352,1.4634136582001,0.143354223607907,NA
"SMC3",10.0548008022376,2.38518552102386,1.34638999927927,1.77154132331691,0.07647072729292,0.411394572489331
"gene12734",19.4611317535448,-2.38387840630331,1.007940548235,-2.36509822972964,0.0180252892655041,0.19703752202984
"gene9214",0.948053345911154,2.38374715973902,4.01063617385854,0.59435637051208,0.552273783100156,NA
"RRP12",113.373142828852,-2.38302551806234,0.650927371241503,-3.66096990746791,0.000251262271974478,0.0115731908214584
"LOC6035999",4.3662880931393,2.38236305901378,1.55847811053954,1.52864710957603,0.126351950633083,NA
"gene7546",2.1679195714413,2.38145109162269,2.99430838344989,0.795325927277705,0.426423935467364,NA
"SVIL",320.139101681858,-2.3812782640605,0.520214972837143,-4.57748890054723,4.70590750789061e-06,0.000822676127054337
"gene2933",1.7164243139576,2.38125105582092,2.33804829569356,1.01847812990302,0.308450789013128,NA
"gene3983",7.62247806578716,-2.38100076109477,1.3483023518387,-1.76592494839734,0.07740844100788,0.415123411332197
"gene2140",5.83615280741228,2.38063110522546,2.43144448186497,0.979101568216545,0.327529796869774,NA
"NCAPD3",2.99388426774632,2.3804715447755,2.42859784311715,0.980183504453796,0.326995545518702,NA
"gene9669",13.4280107691112,-2.37872263630899,1.57075512583042,-1.51438158449518,0.1299290871921,0.540554941343969
"gene12370",0.609542420886804,2.37720618303516,4.91446360009132,0.483716306900917,0.628587218641684,NA
"gene6659",2.5717680060124,-2.37678883577516,2.92245159570842,-0.813285954595601,0.416054127931901,NA
"gene9775",30.6949511725675,-2.37643448858317,0.786011346799226,-3.02340990147333,0.00249943442740002,0.0612459107964328
"gene3277",4.45723430817334,-2.37521175991014,1.51764032428047,-1.56506895732113,0.117566741375052,NA
"gene2595",0.99147846935649,-2.37503687625533,3.1439734300169,-0.755425237878858,0.449993874899305,NA
"gene1153",1.8008510974513,-2.37490187481129,2.4360655411601,-0.974892438107521,0.329613617485125,NA
"DHRS11",1.75126106315636,-2.37486430567109,2.3787009558317,-0.998387081759392,0.318091695341292,NA
"gene12018",0.649928639514448,2.37478126990545,3.51789087568334,0.675058253318945,0.499638755335548,NA
