T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10092	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10093	NA	0.9465488	NA	0.0117562	NA	0.1807988	NA	NA	NA	1	0.0064665	NA	NA	NA	1
gene10094	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10095	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10096	NA	0.8411148	0.7262313	0.5502203	0.7726086	0.7858182	0.892495	0.936926	NA	1	0.8562694	NA	0.9541842	0.9647616	1
gene10097	NA	0.9462304	0.9572884	0.8981421	0.8227223	0.9780365	0.9483209	0.9574037	NA	1	0.9777977	NA	0.7912431	0.9201709	1
gene10098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10099	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene101	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene1010	NA	0.852158	0.9471846	0.9426613	NA	0.9457576	NA	NA	NA	1	0.9200992	NA	NA	NA	1
gene10100	0.289416	0.7477182	0.3891865	0.2476697	0.1530568	0.7761106	0.988099	0.9896835	0.9319812	1	0.7446535	0.4563158	0.9898691	0.9331813	1
gene10101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10102	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10103	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10104	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10105	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.7722351	NA	NA	NA	1
gene10106	NA	0.8788587	0.8589054	0.7874432	NA	0.8988931	NA	NA	NA	1	0.5305868	NA	NA	NA	1
gene10107	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10108	NA	0.6457304	0.7646382	0.9008426	NA	0.9457576	NA	NA	NA	1	0.7572347	NA	NA	NA	1
gene10109	0.9620611	0.6756971	0.7029225	0.8645815	0.9272804	0.6379938	0.6618402	0.8220568	NA	1	0.8443213	NA	0.8311812	0.8118405	1
gene1011	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
