T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene11319	NA	4.81467532007671	NA	NA	NA	NA	NA	NA	NA	NA	-5.33744456137123	NA	NA	NA	NA
gene11373	-2.21393668063936	NA	NA	-1.93698484485906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11387	NA	NA	NA	NA	NA	2.95239354834713	NA	NA	NA	NA	-2.74772700623515	NA	NA	NA	NA
gene11403	NA	NA	5.30050196174788	NA	NA	NA	5.44104581854094	NA	NA	NA	NA	NA	-4.17174391289851	NA	NA
gene11481	NA	NA	-4.38141522658642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11534	NA	NA	NA	-2.5463100191362	NA	NA	NA	-2.39355003696265	NA	NA	-3.10021006401182	NA	-2.5814398240029	NA	NA
gene11546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.46042274500384	NA	NA	NA	NA
gene1158	NA	NA	-3.36091439320707	NA	-2.56673707005242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11641	NA	NA	NA	NA	NA	NA	NA	-2.46073250855652	NA	NA	-3.83973997543348	-2.8810450249504	-4.10493975471993	-3.14624480423685	NA
gene11651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.66444839129748	NA	NA
gene11674	3.4297578713538	NA	NA	2.69072166106186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11676	NA	NA	NA	NA	NA	NA	NA	-1.42521476040783	NA	NA	NA	NA	NA	NA	NA
gene11734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.83984850346675	NA	NA
gene11775	NA	NA	NA	2.00656406248492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1184	1.83961175767001	NA	NA	1.90857571674913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11845	NA	NA	NA	NA	NA	3.52961190390897	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene11854	NA	NA	NA	NA	NA	5.98793790374174	NA	NA	NA	NA	-4.81237086974211	NA	NA	NA	NA
gene11881	NA	NA	NA	NA	NA	NA	NA	-2.98258511737052	NA	NA	NA	NA	NA	NA	NA
gene11899	NA	NA	NA	NA	NA	3.03625424793983	NA	NA	NA	NA	-2.12731481869801	-2.55637521402748	NA	NA	NA
gene12020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.37112283780747	NA	NA	NA	NA
gene12107	NA	NA	NA	NA	NA	NA	NA	2.82681848574228	NA	NA	NA	NA	NA	NA	NA
gene12123	2.66694231280977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12143	NA	NA	NA	NA	NA	NA	NA	-2.09059201262698	NA	NA	NA	NA	NA	NA	NA
gene12174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.14791852232163	NA	NA
gene12179	NA	NA	NA	6.69577033560181	NA	NA	NA	NA	NA	NA	5.66212471131458	NA	NA	NA	NA
gene12180	NA	NA	NA	NA	NA	NA	NA	-2.00434453262409	NA	NA	NA	NA	NA	NA	NA
gene12196	NA	NA	NA	-2.30267049808034	-2.91837361160256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.52121527893419	NA	NA	NA	NA
gene12372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71654046181847	NA	NA	NA	NA
gene12377	NA	NA	NA	2.92472134942143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12380	-2.72672590428805	NA	NA	-2.9014817249846	-2.40123250929165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12381	-1.79502654753063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12386	NA	NA	NA	-2.76001803590195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12433	NA	NA	NA	NA	NA	NA	-5.13158341776206	NA	NA	NA	NA	NA	NA	NA	NA
gene12440	NA	NA	NA	NA	2.36545626773528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.12519447372183	NA	NA	NA	NA
gene12470	NA	NA	NA	-2.30671722730745	NA	NA	NA	NA	NA	NA	-2.34737181714087	-1.65104734713021	NA	NA	NA
gene12526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.26153596471935	NA	NA	NA	NA
gene12538	NA	NA	-2.48799252206916	NA	NA	NA	-2.47034988956887	NA	NA	NA	NA	NA	NA	NA	NA
gene12664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.99869744103126	NA	4.08541968084603	NA	NA
gene12665	4.89790081790702	NA	NA	3.65690617855072	2.47490118135527	-4.86360475302673	-5.22860600441076	NA	NA	NA	3.62261011367043	NA	3.98761136505446	2.80560636785902	NA
gene12674	NA	NA	NA	NA	NA	NA	NA	-2.1960633535211	NA	NA	NA	NA	-2.2614629782313	NA	NA
gene12688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.97012206182763	NA	NA	NA
gene12741	NA	NA	NA	NA	NA	5.96762170115344	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12771	NA	NA	-3.3876478626792	-4.84660417269944	-4.92653199706624	NA	NA	-3.07738148220936	-3.15730930657616	NA	-2.48636484071268	-2.56629266507949	NA	NA	NA
gene12775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.81254728925677	NA	NA
gene12814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.95159805193175	NA	NA	NA	NA
gene12818	NA	NA	NA	-2.6250136233937	-1.81333505416131	NA	NA	-3.05058460067499	-2.2389060314426	NA	-2.76710000737637	-1.95542143814399	-2.19850006439049	NA	NA
gene12834	NA	NA	NA	NA	NA	NA	-8.42340019702607	NA	NA	NA	NA	NA	NA	NA	NA
gene12867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.39382926492858	NA	NA	NA	NA
gene12870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0679737040132	NA	NA
gene12963	NA	NA	NA	-3.78805000928363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene12971	NA	NA	NA	-2.75953907314858	NA	NA	NA	-2.30661559452854	NA	NA	NA	NA	-2.31824013538255	NA	NA
gene12973	NA	NA	NA	NA	3.10423512118068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13047	NA	NA	NA	NA	NA	-7.31729230762799	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13059	NA	NA	NA	-2.90480371827018	NA	NA	NA	-4.08032261616959	NA	NA	-3.33126649059387	NA	-3.3837589264428	NA	NA
gene1306	NA	NA	NA	2.47213372578935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13079	NA	NA	NA	7.40813813341984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13133	NA	NA	NA	-3.08898190386439	NA	NA	NA	-3.7891171336519	-2.77095272154841	NA	-2.39572195674059	NA	-2.65337326680873	NA	NA
gene13142	NA	NA	NA	NA	NA	NA	-3.11365914297374	-2.65864386390599	NA	NA	NA	NA	NA	NA	NA
gene13151	NA	NA	NA	-2.23735673069009	NA	NA	NA	NA	NA	NA	-4.00686602304397	-2.62988431043735	-2.69618956640918	NA	NA
gene13153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.27832512507196	NA	NA
gene13201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.47966612222822	-1.83021916273322	NA	NA	NA
gene13230	NA	NA	NA	NA	2.87884209554262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13262	NA	NA	NA	NA	NA	4.80392018533432	5.88139637902578	NA	NA	NA	NA	NA	NA	NA	NA
gene13289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.81545641897991	NA
gene13294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.18159608414782	NA	NA	NA	NA
gene13299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.59892101582562	NA	NA	NA	NA
gene13307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.91184219813986	NA	NA
gene1337	NA	NA	NA	3.42517980636096	NA	NA	NA	NA	NA	NA	3.16364344435387	NA	NA	NA	NA
gene13381	NA	NA	NA	-3.49958237689945	-4.36542016607112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13409	NA	NA	NA	5.16754338298055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1341	NA	NA	NA	NA	NA	-7.23712725845003	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13434	NA	NA	NA	NA	NA	3.64053220896768	NA	NA	NA	NA	-3.21205861197881	NA	NA	NA	NA
gene13435	NA	NA	NA	NA	NA	NA	5.05879442264451	NA	NA	NA	NA	NA	NA	NA	NA
gene13444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10948963801386	NA	NA
gene13480	NA	NA	NA	NA	-4.34317438779649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13523	NA	NA	NA	-2.56343424378827	NA	NA	NA	-3.49826814464737	NA	NA	-4.05857004132659	-2.84485690690237	-4.0616809932555	-2.84796785883128	NA
gene13549	NA	NA	NA	-3.33807510975696	-2.79338345665524	NA	NA	-2.57211443194804	NA	NA	NA	NA	-2.50668280913557	NA	NA
gene13555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.71925343617807	NA	NA	NA	NA
gene13561	NA	NA	NA	NA	NA	6.20440471289242	NA	NA	NA	NA	-5.35324013909123	NA	NA	NA	NA
gene13571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.9020803609997	NA	NA	NA
gene13601	NA	NA	NA	-0.823695388882723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene13610	NA	NA	NA	NA	NA	NA	-2.32129212592546	NA	NA	NA	NA	1.73432344684535	1.81721281477991	NA	NA
gene13626	NA	-5.64796231769379	-5.41365791259772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
