T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
gene10551	NA	0.94406490798335	0.38907349949007	0.0592981775324235	NA	0.931475314353413	NA	NA	NA	1	0.11573296073749	NA	NA	NA	1
gene10555	0.360258051591442	0.623267759865075	0.307046547615285	0.53063658364486	0.794745201776227	0.918156404110387	0.942642566428358	0.029293215326142	0.150470657620762	1	0.059857270509138	0.139550132410036	0.0082578426528128	0.122204410470662	1
gene10568	NA	0.0434052239000705	NA	NA	NA	0.240806881090663	NA	NA	NA	1	0.615580852883714	NA	NA	NA	1
gene10578	0.206544070279896	0.287870289154457	0.389243025122623	0.986056356823857	0.929076022255569	0.00350679064180366	0.00781803447124875	0.163631821358333	NA	1	0.13467647152205	NA	0.236802746884547	0.516816234119961	1
gene10616	0.183035111286645	0.417090670029196	0.465800578546451	0.499460688414106	0.799946416208105	0.917434300142433	0.913400327050453	0.00615683179559149	NA	1	0.0149584636167236	0.0588350114746196	0.0189241746318655	0.230647250323893	1
gene10631	NA	0.563921165914981	0.587605885629516	0.481210595713145	NA	0.723328194188528	0.746936029331134	NA	NA	1	0.042919038926387	NA	0.0694218661535082	0.763067273461248	1
gene10705	0.31054888522159	0.971482551944152	0.645035942881208	0.171763869113562	0.075087468604472	0.345397341190004	0.843742892620123	0.991328096641949	0.811725671248355	1	0.145954463617233	0.0354497652641508	0.67381120834921	0.558465561782644	1
gene1072	0.0790514902648104	0.95541391303979	0.878952759560259	0.755155547758763	0.908136144372821	0.0911923394099961	0.27913037234113	0.304812140872942	0.221961244279642	1	0.655203534313247	0.826767766588307	0.910906081222969	0.989150810453951	1
gene1073	0.012994196293148	0.952988970634565	0.966527867437708	0.0544256610775429	0.698896216898895	0.0447211054982163	0.0394736863094665	0.763055392289139	0.150470657620762	1	0.0992380998878451	0.765849496208821	0.0691756421606154	0.785320899584282	1
gene10759	0.710486657081277	0.310038105209418	0.602658265243313	0.0539562330869388	0.153992344289873	0.732735527154572	0.947824326160887	0.45034455762493	0.606342705433724	1	0.890552623657519	0.983627977745309	0.467820094122884	0.750046080944945	1
gene108	0.486690934517958	0.580099690148504	0.09663326432473	0.386280418625306	0.36025814063921	0.98398825310919	0.659310215789509	0.998149463324258	0.950157159250334	1	0.987034054299068	0.925358108972789	0.438325434177311	0.659667751933041	1
