"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene14183",9.10077597231679,0.629512464110952,1.09068329521198,0.577172554924484,0.563822895080619,0.901520344288295
"gene12756",3.74058973004869,-0.629015722561086,1.80975957920353,-0.347568665909708,0.728164141731803,NA
"gene4381",3.07729090334481,0.628570733424679,2.40529569697991,0.261327841817499,0.793839697671167,NA
"gene2087",7.93662275743417,-0.62856947254974,1.51173926950539,-0.415792250177768,0.677562030260365,NA
"gene1461",49.3944687307877,0.628524312476123,0.675166423828619,0.93091760830166,0.351896185342059,0.818812886708486
"gene8016",29.0516360670209,-0.627034257589142,0.861558683956215,-0.727790537389566,0.466741817909761,0.874529801764377
"gene13241",1.98929541568418,-0.626924185788179,2.37579674364007,-0.263879554286971,0.791872730726967,NA
"gene4199",15.9317744283426,0.626504715405444,1.18573647295884,0.528367583938859,0.597244231951167,0.906657035699971
"gene8164",4.4927952601168,0.626342060296011,2.17768301372106,0.287618563560252,0.773638733404991,NA
"gene3405",163.369334574748,0.625844791770304,0.515932961231564,1.21303510106502,0.225116400671337,0.727664909600825
"gene12450",2.85236971729216,0.625653471000192,2.69920667985656,0.23179161331708,0.816699871285895,NA
"gene12675",0.585040640468044,0.625334842798816,5.57771380509986,0.11211311025443,0.910733722483919,NA
"gene4671",0.341151072156732,0.625334842647269,5.57771380511562,0.112113110226943,0.910733722505713,NA
"gene687",19.5955642431807,0.624326856485115,0.980337962204461,0.63684859768279,0.524223467437418,0.892767137779115
"gene1306",19.1377323189115,0.624165784106287,0.971846062356427,0.642247582495603,0.520712442541175,0.892767137779115
"gene2885",197.625487185942,-0.623622291346049,0.456699435000559,-1.36549827644364,0.17209649444064,0.666682088654758
"gene2693",1.39713733566424,-0.622731318341588,3.80076622174323,-0.163843625735016,0.869854247344167,NA
"gene5726",2.63355133145196,0.622563142561586,2.12429575306343,0.293068016383215,0.769470163179338,NA
"gene3299",0.636868976114603,0.622516515949177,4.7943305367026,0.129844304889609,0.896689609368539,NA
"gene12064",26.9951662222335,0.621947286980487,0.834288034366554,0.745482688664845,0.45597997253866,0.865363346914467
"gene9704",50.50150223895,-0.621942931597374,0.932315656084246,-0.667094805861733,0.504711577711809,0.892484516417488
"gene13640",17.5754591795237,-0.621488955010873,0.956655639245455,-0.64964751109507,0.515919936039495,0.892495015805177
"gene6710",35.4978110152945,0.620838737087239,0.761022219686792,0.815795808620086,0.414616930874219,0.843742892620123
"gene10675",0.808066605319538,0.620729764127558,4.44096646867677,0.139773575978499,0.888838891629893,NA
"gene11550",6.12257990349169,0.620715506554383,2.00932195269045,0.308917894279339,0.75738398445841,NA
"gene12180",91.2789306934049,-0.620678586345015,0.684226498034289,-0.907124450935705,0.364340989371831,0.822838733000818
"gene480",5.85620421121314,-0.620078532357215,1.56113058132751,-0.397198376467605,0.691221179327217,NA
"gene14136",42.1802011962039,-0.619958767262057,0.810030937643786,-0.765351961821841,0.444061990048235,0.855220083430452
"gene8768",1204.67776671393,0.619702745313756,0.315124514486775,1.96653296340029,0.0492370784799694,0.419014543942111
"gene6841",2.20821394302596,0.619372471472485,2.22554650364131,0.278301293843603,0.780781082992658,NA
"gene862",41.6647276405097,0.619350410704504,0.802928134616577,0.771364688821451,0.440490799019689,0.852662329610995
"gene9496",18.952370378422,0.619018551047089,1.20716710065308,0.512786134340639,0.608100929966408,0.912836530418077
"gene2465",28.5225454747065,-0.618819840602532,0.821252663427836,-0.753507255635109,0.451145152912688,0.862850572331751
"gene13676",20.8232998080267,-0.618691774459035,0.989086373262776,-0.625518449332295,0.531630843565558,0.893301751321389
"gene5044",31.6664604753025,-0.61858024845473,0.889807751131273,-0.695184153732407,0.486939901709024,0.881918625058607
"gene6393",3.86186674843532,0.6185794716585,1.77297274561951,0.348893954059264,0.727168924291193,NA
"gene7606",66.060519299221,-0.617567961701317,0.643749899563592,-0.959329022218062,0.337393019216708,0.810489420740039
"gene8818",20.9830529479242,-0.617496130922058,1.15490004108533,-0.534674957965852,0.592874640756098,0.906657035699971
"gene6256",160.711630973916,0.617333702683884,0.397208810410174,1.55417927927228,0.120141658637144,0.607096763275736
"gene7862",1.20937763013308,0.617279506884138,3.27363006636875,0.188561167379811,0.850436770694694,NA
"gene8055",25.2542764866546,-0.616409804712602,0.896049289042679,-0.68791952881427,0.491503457929678,0.881918625058607
"gene394",5.15833113707158,0.616125213560676,1.56211014155942,0.394418547814825,0.693272052205032,NA
"gene1101",24.7307122436427,-0.615948900659395,1.14225006860633,-0.539241727873933,0.589720071215633,0.906657035699971
"gene3995",233.862266195799,-0.615729723637897,0.605821165988143,-1.01635558182189,0.309460089412208,0.801060287020393
"gene12925",1.90490735355623,0.615372197378486,2.98508328674226,0.206149088071196,0.836674455423821,NA
"gene3568",13.3124822071806,-0.614861507169471,1.20889276957375,-0.508615422843721,0.611021816311315,0.912836530418077
"gene7365",27.778618920215,0.614477913551007,0.937123703796377,0.655706296897303,0.512013116538172,0.892495015805177
"gene1957",158.567383671378,-0.614387284102152,0.566196459892235,-1.08511325595199,0.277871496916687,0.782778353623526
"gene11202",2.99193250701622,-0.61415991774997,2.48127051613893,-0.247518323276438,0.80450711266197,NA
"gene3910",4.80172633933759,0.613984429059857,1.49990059107684,0.409350081407096,0.682282767480466,NA
"gene11030",46.310214950747,-0.613860171897801,0.646483174436989,-0.949537739218659,0.342347187266232,0.815755680372686
"gene9119",67.6176005006621,-0.613509160881345,0.558554150472301,-1.09838797252258,0.272035112076731,0.780432807382396
"gene3926",2.62463485002057,0.613161234819905,3.50669630545817,0.174854387551474,0.861194051482356,NA
"gene11866",1.21014148812309,0.611883149810973,3.66253534249093,0.167065459467983,0.867318543361706,NA
"gene7810",40.857628950775,0.61174891236387,0.824330682887006,0.742115906957845,0.458017112905798,0.865363346914467
"gene6293",1.23024271860754,0.611597091579027,3.37738804692413,0.181085822263161,0.856300212817263,NA
"gene10463",29.257628778594,0.611575045133847,0.950191659899129,0.643633354136965,0.519813216190965,0.892575940393407
"gene14222",4.07895105172402,0.610816491403451,1.83499510489742,0.332870910539893,0.739231728464391,NA
"gene612",4.43870405937322,0.610644566605808,2.1356494119434,0.285929218152961,0.77493233469554,NA
"gene796",57.5658968784412,-0.610517757863413,0.753561822882119,-0.810176072254283,0.417838987580542,0.843742892620123
"gene8017",11.627018465135,0.610400499036916,1.29888237212314,0.469942861753647,0.63839584057051,0.91986652744546
"gene7499",4.18967618751536,0.610296791744506,1.7019515844901,0.358586458807727,0.719904478303039,NA
"gene5256",11.4297157805619,-0.60996323508528,1.02227205457901,-0.596674077466074,0.550725002941126,0.899424122664129
"gene13769",2.12320799163891,-0.60984511539829,2.59332055718819,-0.235159943381437,0.814084594800355,NA
"gene4655",8.56286185667969,-0.609688891582836,1.41715620772853,-0.430219963231905,0.667035641520992,0.929266490355336
"gene301",4.22544659729288,-0.609688395638763,2.53376515742746,-0.24062545569842,0.809845418984801,NA
"gene10713",0.777252975484216,0.609628995915101,4.2946946695834,0.141949321853476,0.887120035520491,NA
"gene13087",1.75126106315636,0.609100356231653,2.77459636960461,0.2195275546758,0.826239117782393,NA
"gene3688",2.97057702729193,-0.608453844806214,2.42983937879376,-0.250409080582219,0.802271007982659,NA
"gene3528",11.9319028625218,-0.607175674847072,1.19661549421561,-0.507410841479269,0.611866580313881,0.912836530418077
