"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene647",0.574630289415777,0.618105617054553,5.04527126365451,0.122511869977598,0.902493645922953,NA
"gene2052",2.92418580976587,-0.617659907305248,2.03552356316525,-0.303440313088187,0.761554327546168,NA
"gene8398",372.418117629047,0.617239068017988,0.281641738329758,2.19157526749568,0.0284101894172283,0.270457644157529
"gene9106",3.05737228948578,0.616976550651134,2.1083381293091,0.292636433442161,0.769800062373364,NA
"gene13343",3.93810634603087,-0.616963545493432,1.345977669658,-0.458375766107766,0.646682499173467,0.916490429292199
"gene5912",23.5228759829887,0.616741600118748,0.988339459732091,0.624017986983873,0.532615772507916,0.870096353239594
"gene12044",0.515493186220852,0.616519176326491,4.96514356595768,0.12416945615702,0.901181105504036,NA
"gene6196",3.77369458562488,0.616494271639043,1.89181255272187,0.325874923893519,0.74451898880861,0.947689619677033
"gene8821",14.2532609409381,0.616406708130983,1.42077669439989,0.433851928005717,0.664395970138681,0.921506265901233
"gene9161",4.32910365033021,0.61490689424127,1.7755767848176,0.346313884873437,0.7291068348786,0.940641221787614
"gene7013",10.317242036195,-0.614642934666685,1.03616066494464,-0.593192692466785,0.553052202544422,0.879386007476402
"gene13617",28.1317705022088,0.614440471511307,1.04201997393199,0.58966285376734,0.555416703719523,0.880604993927124
"gene4234",2.02229071381038,-0.614292690525249,3.01865567340667,-0.203498761364855,0.838745213715543,NA
"gene3177",5.70011459937337,0.61407958634006,1.56178022365509,0.393192061878533,0.694177632259395,0.931159200886182
"gene1127",0.906872175101553,0.614052240467812,4.1836230163278,0.146775232393382,0.883309434619191,NA
"gene8764",2.91089558342892,0.613653522588406,2.12124114692086,0.289289844994366,0.772359582778424,NA
"gene2799",20.0028202945608,-0.613653152083502,1.04520549193566,-0.587112445177699,0.557128189780631,0.881518910262885
"gene5802",0.659099694154436,0.613640295540471,4.1588669472625,0.14754987435806,0.882698016431955,NA
"gene3199",8.69118309049525,-0.613568949394094,1.24395312432887,-0.493241214153566,0.621842159868904,0.906624626504126
"gene11466",1.95170787331128,-0.613400863749151,2.46103100513725,-0.249245483892204,0.803170898259253,NA
"gene12427",14.6767812747038,-0.613210508345221,0.820816609571546,-0.747073708298017,0.455019069608887,0.836965136301445
"gene11138",2.24190483831334,-0.613206755057542,2.40422044511793,-0.25505429683153,0.798681162792939,NA
"gene13788",0.734204290565058,0.613106508236845,4.52687504116377,0.135437029443434,0.892266348575989,NA
"gene13399",2.51727641910399,0.61304147155356,1.99564100921277,0.307190255523657,0.758698562158404,NA
"gene2308",3.1179639964038,0.612407842327223,2.35281613731737,0.260287165075923,0.794642272280601,NA
"gene7099",3.07414804682505,-0.612193564311733,1.56231230916009,-0.391850951133357,0.695168345849259,NA
"gene6943",37.2643341812438,-0.611866029709485,0.642681782722164,-0.952051304640759,0.34107096323482,0.77521958953372
"gene2894",12.0475117299858,-0.611813242388769,0.897390464994131,-0.681769270183598,0.495384858341589,0.851420063941294
"gene12283",23.6507657485889,0.611811290028791,0.858110916897528,0.712974602678142,0.475861473099059,0.843431208421768
"gene3992",11.3833829055941,-0.611035063199567,0.914613852634484,-0.668079825643927,0.504082638922743,0.855213579056786
