"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"gene9013",13,4,0,27,50,26,54,0,13,8,6,0,82,51,30,6,19
"gene9014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9016",0,0,0,0,0,2,22,0,0,0,0,0,12,0,1,0,3
"gene9017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9018",35,63,7,111,43,112,50,3,39,0,30,55,99,173,96,57,50
"gene9019",1,7,0,12,0,1,4,0,4,0,0,0,7,19,14,1,13
"gene902",4,10,0,0,0,9,6,0,9,0,9,4,6,12,5,2,7
"gene9020",4,8,0,0,17,7,8,0,7,0,2,0,0,0,34,3,3
"gene9021",6,0,0,0,3,9,0,0,8,0,0,10,17,33,12,5,26
"gene9022",40,49,0,7,10,24,11,11,20,0,4,36,38,81,14,14,16
"gene9023",12,15,0,17,21,5,0,11,0,0,3,0,35,8,21,14,1
"gene9024",1,0,0,0,0,0,8,0,0,0,0,0,0,3,3,4,0
"gene9025",1,0,0,6,9,8,0,14,2,0,0,5,10,9,2,0,7
"gene9026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9028",0,2,0,0,0,7,0,0,5,0,2,0,0,0,0,0,0
"gene9029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene903",65,69,0,82,73,117,29,4,33,23,30,13,43,143,104,22,42
"gene9030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9036",0,16,0,1,0,26,0,0,1,0,0,0,0,0,0,0,6
"gene9037",0,15,0,0,0,5,0,0,3,0,1,0,0,0,3,0,2
"gene9038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9039",0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,0,0
"gene904",12,23,22,5,13,11,13,3,9,0,1,22,3,59,41,9,0
"gene9040",0,0,0,0,7,10,0,0,0,0,0,0,0,3,7,0,11
"gene9041",11,3,0,1,9,2,11,0,1,0,0,0,0,24,17,0,6
"gene9042",9,13,0,16,12,25,0,7,12,0,0,0,4,31,27,5,18
"gene9043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"gene9044",4,0,0,19,2,0,0,8,0,0,2,0,0,5,1,0,0
"gene9045",0,0,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0
"gene9046",151,86,12,98,150,272,59,17,89,13,30,154,105,485,252,53,153
"gene9047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"gene9048",4,0,0,0,0,5,0,0,3,0,0,0,0,21,21,11,11
"gene9049",13,13,0,28,3,25,11,0,7,0,3,7,23,36,15,0,17
"gene905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9050",5,8,0,13,0,1,0,0,3,0,2,0,28,4,14,7,16
"gene9051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9052",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9053",0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0
"gene9054",0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"gene9055",115,188,12,266,78,261,101,37,135,3,35,82,137,258,509,79,173
"gene9056",173,266,49,330,116,290,207,44,232,23,45,117,206,490,803,99,237
"gene9057",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gene9058",0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"gene9059",2,9,0,6,5,10,0,0,2,0,2,9,14,22,16,13,22
"gene906",111,135,42,167,135,191,83,33,85,11,42,132,138,493,213,90,115
"gene9060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9061",2,14,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0
"gene9062",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"gene9063",4,0,0,4,2,0,6,0,3,0,0,0,8,22,14,2,5
"gene9064",4,12,0,0,0,9,2,0,4,0,0,0,1,20,0,6,6
"gene9065",0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"gene9066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9067",14,19,10,31,14,25,11,3,5,0,9,24,67,77,54,29,34
"gene9068",44,44,18,149,161,21,5,7,17,0,17,57,38,120,165,30,73
"gene9069",5,16,0,7,11,18,6,0,5,0,5,0,21,14,28,15,15
"gene907",6,0,0,0,0,0,6,0,2,0,0,0,9,0,4,0,5
"gene9070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9071",7,17,0,13,15,5,1,0,2,0,3,0,34,13,19,5,18
"gene9072",0,0,0,4,0,0,3,7,4,0,0,0,0,9,3,0,0
"gene9073",0,0,0,0,5,0,3,0,0,0,0,0,7,0,0,0,4
"gene9074",30,38,3,31,51,21,7,4,14,0,5,34,69,57,54,23,25
"gene9075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9078",114,103,0,78,74,99,84,6,50,8,16,60,66,142,94,32,33
"gene9079",12,14,8,23,15,10,6,0,4,0,11,12,36,45,34,5,0
"gene908",45,15,6,60,33,56,6,1,8,0,2,22,4,33,81,8,13
"gene9080",22,15,0,18,18,16,0,1,6,0,2,13,43,54,21,5,0
"gene9081",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2
"gene9082",3,13,0,18,8,15,16,0,9,9,3,0,19,17,42,0,10
"gene9083",0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"gene9084",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9085",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"gene9086",1,12,0,5,10,29,24,6,19,0,2,13,2,111,108,14,24
"gene9087",0,13,0,7,0,10,14,0,0,0,7,0,0,4,2,0,7
"gene9088",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"gene9089",24,13,0,39,22,1,14,3,2,0,0,14,10,30,14,11,10
"gene909",0,0,0,0,0,4,0,0,1,8,0,7,24,24,4,1,2
"gene9090",0,0,0,2,0,0,12,0,0,26,0,4,0,10,3,0,7
"gene9091",60,105,10,138,126,157,94,5,47,0,30,114,128,246,198,59,64
"gene9092",47,79,5,56,68,70,28,0,41,0,10,147,122,412,175,38,65
"gene9093",0,2,0,0,0,23,0,0,7,0,5,0,0,6,11,0,2
"gene9094",0,2,0,3,1,0,0,0,6,0,0,0,0,3,15,0,2
"gene9095",0,0,0,0,5,1,5,0,3,0,1,0,0,0,7,1,0
"gene9096",40,64,5,94,78,28,41,15,18,0,10,110,85,382,105,30,95
"gene9097",0,9,0,4,9,4,15,0,5,0,0,0,8,0,17,0,0
"gene9098",11,3,0,16,6,8,21,0,0,0,5,5,4,33,22,9,18
"gene9099",6,16,0,10,15,27,13,0,5,0,1,15,73,49,32,2,5
"gene91",8,20,0,9,3,16,16,0,15,0,2,0,6,10,6,17,7
"gene910",12,62,0,8,17,33,11,6,9,0,5,127,41,167,66,29,47
"gene9100",1,16,8,7,23,7,11,0,5,1,0,7,11,58,27,2,23
"gene9101",0,0,0,0,4,3,5,0,0,0,0,0,0,1,4,0,3
"gene9102",5,0,0,7,1,4,14,0,7,0,4,8,0,20,10,1,0
"gene9103",40,26,1,13,41,48,63,0,22,10,1,22,12,36,34,4,4
"gene9104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9105",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"gene9106",0,7,0,6,6,1,17,0,1,0,0,0,13,18,32,2,0
"gene9107",5,4,2,1,6,18,0,0,3,0,4,7,13,34,31,0,0
"gene9108",15,51,0,21,38,29,17,5,10,0,8,27,36,181,105,66,85
"gene9109",20,17,4,15,5,21,3,0,10,0,2,16,13,23,23,7,3
"gene911",4,3,0,5,11,17,7,0,3,0,6,8,55,14,17,8,11
"gene9110",2,0,0,8,3,7,0,0,0,0,0,0,3,4,1,0,8
"gene9111",85,65,17,150,106,60,23,0,35,0,14,71,61,138,88,43,46
"gene9112",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"gene9113",5,31,0,1,5,5,5,0,1,16,0,0,11,81,17,7,6
"gene9114",0,0,0,6,6,7,0,0,9,0,0,7,20,26,6,2,3
"gene9115",8,11,0,10,8,31,17,0,2,11,0,9,26,40,23,9,12
"gene9116",69,86,0,243,144,48,31,0,41,41,18,5,51,271,113,49,138
"gene9117",76,113,24,252,134,110,10,2,68,22,29,12,4,266,208,61,157
"gene9118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9119",70,247,26,103,89,108,76,17,51,14,30,48,44,251,227,46,75
"gene912",0,1,0,0,2,4,0,0,4,0,0,0,6,6,5,17,0
"gene9120",5,3,0,3,3,3,0,0,2,0,0,0,5,0,0,0,7
"gene9121",0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0
"gene9122",48,79,18,60,55,44,16,0,47,0,5,144,23,150,149,19,35
"gene9123",0,0,0,2,0,4,0,0,3,0,1,0,0,0,10,0,0
"gene9124",7,30,1,15,13,7,5,0,30,0,0,5,20,38,13,14,5
"gene9125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9126",23,37,0,14,23,13,19,3,4,5,3,3,51,23,49,10,9
"gene9127",38,32,6,162,203,29,25,1,14,6,9,40,64,155,83,19,68
"gene9128",33,57,2,47,57,44,21,0,10,0,5,15,43,117,125,32,37
"gene9129",218,249,14,291,258,277,112,23,116,23,67,164,193,464,333,118,199
"gene913",35,63,4,58,44,41,37,1,13,11,13,381,154,922,240,77,178
"gene9130",31,21,0,136,149,85,13,1,42,3,10,51,49,109,66,28,57
"gene9131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9132",13,30,0,6,0,41,7,8,17,0,3,0,0,20,34,6,0
"gene9133",0,5,0,0,0,3,6,0,0,0,0,0,0,2,2,0,0
"gene9134",0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"gene9135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9136",0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0
"gene9137",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"gene9138",5,24,0,4,3,4,15,8,0,0,6,0,0,4,5,2,0
"gene9139",11,0,0,5,11,5,4,0,7,0,0,0,0,6,8,3,1
"gene914",0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0
"gene9140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene9143",6,0,0,2,9,25,8,6,3,0,13,0,57,31,23,3,12
"gene9144",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gene9145",0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0
"gene9146",0,8,0,2,0,0,0,16,2,0,0,7,10,15,10,0,0
"gene9147",4,37,0,12,26,15,9,0,12,0,0,0,12,4,0,5,6
"gene9148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
