"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"MT-nbisL1-trna-6",13057.5818363043,9423.37049822252,10014.9365470404,22542.1769266549,20400.7558195893,8182.07113767415,12318.8834524195,11620.1593681338,9764.14708312496,10652.6985551381,10284.0485264505,11012.3110433542,20240.0697520944,11820.3464137767,15204.2978492592,9228.49354657365,11543.5291596442
"MT-nbisL1-trna-7",665.7601024939,446.360821863343,544.763737328133,901.474168513248,1038.41685027639,329.118408444618,455.974644760112,227.846262120272,390.565883324999,892.097908558361,515.904649786285,519.269906094979,1130.25902893111,411.240456668986,683.281396268253,517.254541298684,435.205399334456
"MT-nbisL1-trna-9",2.89460914127783,11.2627564613592,0,11.6131937972721,11.4869120605796,0,0,0,15.4170743417763,0,0,5.16686473726347,35.5943977134313,4.45979947300841,9.00747603366812,15.8242307089464,3.52869242703613
"gene1",3.61826142659728,0,0,3.87106459909071,0,0,21.758126202246,0,2.56951239029604,0,0,0,1.09521223733635,3.99034689690226,0,2.96704325792744,3.52869242703613
"gene10",1.44730457063891,4.7422132468881,13.0743296958752,7.74212919818141,1.14869120605796,10.3620488415847,6.62203840937922,0,8.99329336603615,0,0,0,0.547606118668173,2.34726288053074,4.18204244420306,8.90112977378233,4.11680783154215
"gene100",14.4730457063891,29.6388327930506,0,23.7102706694306,11.4869120605796,15.7897887109862,18.9201097410835,0,20.5560991223683,0,7.85641598659317,0,15.880577441377,24.6462602455728,16.7281697768122,19.7802883861829,35.2869242703613
"gene1000",1.44730457063891,0,0,6.2904799735224,2.87172801514489,4.44087807496486,0,0,1.28475619514802,0,0,0,0,3.75562060884919,6.11221587998908,9.89014419309147,2.94057702253011
"gene10000",0.723652285319456,7.70609652619317,0,12.5809599470448,13.2099488696665,7.89489435549308,17.0280987669751,116.572506201069,10.2780495611842,0,23.5692479597795,19.8063148261766,16.4281835600452,11.2668618265476,20.2668210757533,13.8462018703281,34.1106934613492
"gene10001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10004",1.44730457063891,0,0,0.967766149772676,0,0.493430897218318,0,0,0,0,0,7.7502971058952,0,2.11253659247767,0.643391145262009,7.91211535447318,1.76434621351806
"gene10005",2.89460914127783,11.2627564613592,4.35810989862506,14.5164922465901,10.3382208545216,5.4277398694015,3.7840219482167,0,1.28475619514802,0,5.23761065772878,66.3080974615478,5.47606118668173,50.466151931411,21.2319077936463,9.89014419309147,21.7602699667228
"gene10006",0.723652285319456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10007",7.96017513851402,6.52054321447114,0,4.83883074886338,9.18952964846366,2.46715448609159,22.7041316893002,0,5.13902478059209,0,0,0.861144122877245,5.47606118668173,23.0031762292013,10.2942583241921,12.8571874510189,5.88115404506021
"gene10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1001",0,0,0,0,0,0,0,0,0,45.9168041169744,0,0,0,0.469452576106149,0,0,0
"gene10010",2.89460914127783,0,0,4.83883074886338,8.61518404543468,2.96058538330991,0.946005487054175,0,5.13902478059209,0,5.23761065772878,6.02800886014071,3.83324283067721,7.74596750575146,0.643391145262009,9.89014419309147,8.2336156630843
"gene10011",0,0,0,2.90329844931803,10.9125664575506,1.97372358887327,0,0,2.56951239029604,0,0,0,7.66648566135443,5.86815720132686,2.57356458104803,6.92310093516403,0
"gene10012",0,0,0,2.41941537443169,0,0,0,0,0,0,0,0,0,1.17363144026537,0,4.94507209654574,0
"gene10013",0.723652285319456,0,0,0,0,0,0,0,1.28475619514802,0,0,0,0,0,0,0,0
"gene10014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10015",10.8547842797918,16.0049697082473,8.71621979725013,20.8069722201125,21.2507873120722,2.96058538330991,8.51404938348757,21.1950011274671,8.99329336603615,0,0,0,8.2140917800226,6.33760977743301,8.04238931577511,10.8791586124006,0
"gene10016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10018",0,0,0,0,0,0,0,0,0,0,0,0,1.09521223733635,0,0,0,0
"gene10019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10020",15.920350277028,5.33498990274912,0,2.90329844931803,16.6560224878404,7.89489435549308,6.62203840937922,0,8.99329336603615,0,0,37.0291972837215,19.7138202720542,11.9710406907068,19.6234299304913,15.8242307089464,9.99796187660236
"gene10021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10022",9.40747970915293,0,0,0,2.87172801514489,0,3.7840219482167,0,0,0,0,5.16686473726347,0,2.11253659247767,0.965086717893013,0,0
"gene10023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10024",8.68382742383348,5.92776655861013,4.35810989862506,6.77436304840873,16.6560224878404,15.2963578137679,13.2440768187584,26.4937514093339,15.4170743417763,0,10.4752213154576,0,16.9757896787134,7.04178864159223,4.50373801683406,22.7473316441104,12.3504234946264
"gene10025",5.0655659972362,4.14943659102709,26.1486593917504,5.32271382374972,6.31780163331877,6.41460166383813,14.1900823058126,0,1.28475619514802,0,0,0.861144122877245,5.47606118668173,2.58198916858382,5.14712916209607,7.91211535447318,7.05738485407226
"gene10026",2.17095685595837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10028",0,2.37110662344405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10029",0,4.7422132468881,0,0.967766149772676,0,0.986861794436636,0,0,3.85426858544406,0,0,0,9.85691013602712,0.938905152212298,0,0,0
"gene1003",2.17095685595837,3.55665993516608,0,0,0,0.986861794436636,0,0,0,0,0,0,0,0,0,0,0
