X22_mock_A	X22_mock_B	X22_mock_C	X22_WNV_A	X22_WNV_B	X22_WNV_C	X26_mock_A	X26_mock_B	X26_mock_C	X26_WNV_A	X26_WNV_B	X26_WNV_C	X30_mock_A	X30_mock_B	X30_mock_C	X30_WNV_A	X30_WNV_B	X30_WNV_C
gene10103	4	5	0	0	3	2	7	0	0	3	0	0	0	0	11	3	0	5
gene10104	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
gene10105	0	0	0	3	1	9	3	5	0	1	0	1	6	9	12	1	1	0
gene10106	2	11	0	8	6	12	8	0	4	3	0	3	9	1	3	0	0	2
gene10107	2	1	0	1	1	7	1	0	0	1	0	0	0	0	9	0	0	4
gene10108	3	14	1	5	6	7	5	0	0	6	0	1	5	4	21	22	5	12
gene10109	17	22	0	11	23	11	20	11	3	8	4	0	12	19	45	31	15	23
gene1011	0	0	0	2	1	0	1	1	0	1	0	0	0	0	1	3	1	0
gene10110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10111	0	0	0	0	2	0	0	1	0	0	0	0	0	0	4	0	0	0
gene10112	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10115	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
gene10116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10117	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene10118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1012	9	8	0	6	4	0	8	1	0	3	1	1	0	2	6	9	0	2
gene10120	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene10124	1	2	0	5	3	2	1	0	0	2	0	2	3	0	2	4	6	1
gene10125	5	9	0	2	0	0	12	4	0	13	0	0	1	2	4	2	0	0
gene10126	2	0	0	0	0	0	0	1	0	6	0	6	0	0	3	0	2	0
gene10127	3	6	0	3	6	1	7	1	0	1	0	0	4	0	2	3	0	6
gene10128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
gene1013	11	15	0	2	12	7	9	1	0	6	0	8	1	6	11	9	1	0
gene10130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10131	21	21	0	22	17	30	6	4	2	6	0	7	1	11	42	33	33	15
gene10132	49	36	6	120	140	102	17	10	0	2	0	6	22	15	61	66	6	48
gene10133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10135	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene10136	3	6	0	5	9	0	2	0	0	0	0	0	5	5	13	15	2	9
gene10137	251	209	42	313	372	248	213	81	32	109	7	40	377	154	1112	361	151	294
gene10138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10139	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene1014	0	9	1	2	6	1	0	0	4	0	0	0	0	0	0	4	0	0
gene10140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10141	0	0	0	0	0	2	0	0	0	0	0	2	0	0	3	0	0	0
gene10142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10143	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10144	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
gene10145	8	1	0	6	5	7	3	0	0	5	0	0	0	0	7	10	9	2
gene10146	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10148	6	4	0	8	3	0	7	2	3	7	0	0	2	4	21	6	9	3
gene10149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1015	1	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3
gene10150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10152	8	1	0	18	16	24	14	0	0	3	0	4	0	0	14	7	9	5
gene10153	15	11	9	29	14	19	20	14	2	13	4	2	2	23	25	27	10	14
gene10154	3	0	0	8	3	1	5	2	0	2	0	1	3	12	10	3	0	4
gene10155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10156	3	0	0	3	0	0	0	3	0	0	15	1	2	0	9	3	3	0
gene10157	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10158	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
gene10159	0	7	0	0	2	0	0	0	0	0	0	0	2	0	2	9	1	0
gene1016	3	4	1	2	2	0	6	1	0	4	1	1	0	6	9	5	8	6
gene10160	2	1	0	4	12	1	4	4	0	1	0	3	0	10	21	13	9	15
gene10161	5	1	0	8	4	3	11	3	0	6	0	0	11	4	15	6	6	2
gene10162	25	5	1	36	62	54	7	2	0	5	6	0	7	11	31	18	11	16
gene10163	19	2	4	12	14	3	8	1	0	8	1	7	11	15	55	32	14	17
gene10164	7	2	0	5	6	1	2	0	0	3	0	0	5	9	14	1	1	0
gene10165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10166	0	7	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
gene10167	21	11	0	51	30	35	31	6	1	19	0	13	15	17	39	36	24	57
gene10168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
gene1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10170	2	0	0	3	8	0	4	4	0	3	0	0	2	0	7	2	1	2
gene10171	2	3	1	5	8	4	14	3	0	14	0	6	1	3	14	12	2	3
gene10172	23	7	4	36	37	26	6	6	0	7	4	5	41	11	124	48	17	54
gene10173	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10174	3	3	0	1	2	5	4	3	0	2	0	0	2	0	10	2	0	1
gene10175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10176	2	8	0	3	1	1	4	2	0	5	0	0	0	8	0	1	0	6
gene10177	2	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
gene10178	3	1	0	5	11	3	10	0	0	2	0	0	1	1	0	6	0	0
gene10179	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
gene1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
gene10182	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	8	0
gene10183	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10184	9	0	0	17	8	5	12	1	0	1	0	3	8	14	15	11	4	10
gene10185	3	8	0	9	4	3	1	0	0	4	0	1	5	0	10	13	0	0
gene10186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10187	1	0	0	0	1	4	0	0	0	0	1	0	0	1	3	6	0	3
gene10188	4	2	0	6	4	3	4	1	0	1	0	2	0	0	0	4	0	2
gene10189	1	1	1	1	12	7	2	5	6	2	5	0	1	5	24	15	1	6
gene1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10190	0	0	0	5	3	0	0	4	0	0	0	0	0	0	5	1	0	1
gene10191	2	3	0	4	7	0	23	1	0	4	0	2	0	3	8	1	1	3
gene10192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
gene10193	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
gene10194	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	1
gene10195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gene10196	2	0	0	0	0	1	0	0	0	0	0	0	4	0	0	5	0	0
gene10197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene10198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10199	0	0	0	0	0	2	7	0	0	2	0	0	0	0	0	0	0	0
gene102	35	7	21	136	120	105	12	14	0	3	0	4	13	47	46	67	14	67
gene1020	4	0	0	0	0	0	1	9	0	0	0	0	0	0	2	0	0	0
gene10200	8	15	0	43	14	12	24	13	1	9	1	1	1	6	41	25	4	14
gene10201	3	2	1	9	1	15	15	5	0	3	0	1	2	4	3	8	6	9
gene10202	10	6	0	12	1	11	16	18	1	12	0	6	14	6	31	24	24	43
gene10203	0	0	0	1	6	5	4	1	0	2	0	1	2	4	14	2	0	0
gene10204	4	0	2	6	2	2	9	1	0	2	0	1	0	6	12	1	5	2
gene10205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
gene10206	4	8	0	0	0	2	1	0	0	2	0	1	0	0	3	0	4	0
gene10207	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	2
gene10208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10211	0	5	0	3	1	0	2	0	0	6	0	1	0	0	0	0	0	0
gene10212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10213	0	1	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0
gene10214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10215	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0
gene10216	18	20	5	30	14	10	19	16	0	12	0	0	10	5	24	31	3	15
gene10217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10218	29	53	9	46	45	40	43	34	2	44	11	4	20	22	62	50	27	17
gene10219	4	3	0	9	11	12	0	0	0	0	0	1	0	0	1	0	0	1
gene1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10220	9	1	0	14	16	16	6	0	0	5	1	1	0	1	16	24	2	5
gene10221	2	2	0	4	4	1	6	1	0	0	0	1	0	1	1	1	0	1
gene10222	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene10223	0	1	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	3
gene10224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10225	3	2	0	6	4	5	16	2	2	2	0	1	4	4	11	19	10	12
gene10226	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0
gene10227	75	36	10	120	118	114	67	11	11	66	3	17	28	56	176	165	29	69
gene10228	9	16	3	35	35	39	27	9	0	18	0	13	3	15	36	48	12	36
gene10229	6	5	1	28	28	8	27	9	7	12	0	2	7	13	33	13	5	14
gene1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10230	0	1	0	8	5	5	3	1	3	1	0	0	4	0	2	7	4	0
gene10231	4	5	0	11	9	7	15	0	0	5	4	3	0	7	13	20	7	10
gene10232	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
gene10233	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10235	0	2	0	1	0	0	1	0	0	0	0	0	5	0	12	4	1	0
gene10236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10237	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10238	2	3	0	5	0	0	8	0	0	2	0	0	3	0	1	5	0	3
gene10239	12	28	1	19	14	2	50	10	0	27	0	4	6	1	8	15	1	2
